Item,Age,Continent,Pole ID,PLat,PLon,A95
1,43,AFR,JNE,83.5,110.9,3.7
2,44,NAM,RAT,79.4,146.2,9.6
3,44,NAM,VIR,85.5,243.7,13.5
4,44.5,AFR,WAT,69.5,165.5,4.4
5,46.5,NAM,ABS,83.5,177.4,10.1
6,51.5,NAM,MIE,82,170.2,3.5
7,53.5,AUS,BAR,79.3,151.6,3.9
8,58.5,GRE,GTI,66.8,193.6,4.9
9,58.5,EUR,BTI,75,183.8,6.3
10,63,NAM,GRG,77,201,1.4
11,63,NAM,MIP,81.8,181.4,5.4
12,65.5,IND,DEC,71.9,216.7,2.4
13,71.5,SAM,PAT,70.6,196.7,6.3
14,71.5,NAM,TST,73,224,8
15,72,SAM,IPQ,71.2,198.3,5.7
16,76,NAM,ADL,83.4,200.9,7.1
17,80.5,SAM,SSI,73.1,180.3,4.9
18,83,SAM,PCA,77,182.8,2.7
19,87,AFR,MDG,74.6,181.6,5.5
20,90.5,AFR,KP1,70.5,175.3,5.2
21,92,SAM,CSA,78.7,190.4,4.5
22,92.5,AFR,WNA,76.3,218,3.1
23,93.5,NAM,STF,71.3,205.8,6.3
24,98.5,AUS,DRM,78.8,196.1,6.5
25,100,NAM,ARK,74.1,192.5,5.7
26,101.5,NAM,NE3,76.6,167.5,5.3
27,105,AUS,CYG,84.6,235.8,10
28,111,AFR,LUP,78.2,195.3,3.8
29,112,NAM,NE2,74.5,195.2,3.8
30,118,IND,RAJ,80.9,179.2,2.5
31,120.5,SAM,FLO,74.3,178.9,2.6
32,122.5,NAM,NE1,71.9,194.1,2.4
33,124,SAM,SLC,72.9,192.2,3.3
34,126.5,SAM,EMA,71.7,198.6,1.9
35,128.5,SAM,PRN,70.9,192.5,1.2
36,129.5,NAM,NDB,71.3,206.5,4.1
37,131.5,AFR,ETN,69.8,201.6,3.1
38,135.5,GRE,GDY,69.5,181,5
39,142,NAM,ITH,58,203.1,3.8
40,144,EUR,HD,61.5,188,7.5
41,145,SAF,SB,63.1,209.6,6.3
42,157,SAM,EQ,84.4,122.5,7.6
43,167,SAM,CA,76.4,113.6,13.5
44,168,AUS,PD,70.7,118.7,6.4
45,169,NAM,MV,81.6,89.7,5.6
46,179,EUR,SC,75,91.7,6.8
47,180,AUS,GN,76.4,120.4,10
48,180,NAM,WM,85.5,124.5,5.2
49,183,SAM,MF,79.9,126.3,11
50,183,AUS,TD,72.7,114.2,5.2
51,183,SAF,KL,74.3,51.5,3.3
52,183,EANT,FD,77.6,72.8,2.7
53,187,SAM,LO,85,174,6.8
54,198,EUR,KD,68.1,56.6,7.5
55,200,NAM,cH,66.6,88.2,2.3
56,201,SAM,CAMsa,67.6,81.2,6.8
57,201,NwA,CAMaf,68.5,87.8,7.9
58,201,NAM,CAMna,66.3,97.3,5
59,204,NAM,cM,67.8,96.1,2.9
60,207,NAM,cW,66.6,86.5,2.9
61,211,NAM,cS,61.7,95.3,2
62,214,NAM,cR,60.1,97.1,1.4
63,214,EUR,RO,59.9,99.1,5.2
64,215,NAM,MI,58.8,89.9,5.8
65,217,NAM,cT,59.9,99.5,1.7
66,221,NAM,cN,60.5,101.6,2.5
67,221,NAM,cD,58.5,99.8,1.1
68,227,NAM,cP,54.2,106.6,2
69,243,EUR,OD,52.7,150.2,5.9